id	turn1	turn2	turn3
1887	Sleep deprived af	Afternoon Sleep must be deprived :P	Beach
1888	No I don't like pizzaaaass	Never.	I love maggi
1889	Ok	U are ok~~ay~~	:-$
1890	Cheetah	And why?	I don't know
1891	Then wat u r on energy saving mode	saving energy is the best, but try to sleep sing a lullaby to yourself lol	😂
1892	Smile	You are wonderful. For real. :)	What if I had chose duckface
1893	Ok	How was it?	What was that?
1894	What is your story	it is yet to come :)	What is universe
1895	Question	Why do you ask?	U said that u want to share something
1896	Ohh! Are we playing hard to get!	aha but we're hoping for a win ;)	😉
1897	Ok i understand	thanks for your understanding	Ok i talk with you tommorrow
1898	What do you min	I'm in C	What
1899	who are  uhh	One of us...	ohh
1900	Like	I think anything about is great	Ok. What are your interests
1901	Lets not talk about it	what time you get in??????	From ????
1902	Hahahahaja	someone is missing you :P	Who is missing me
1903	Get lost 	that's what I thought!	I said get the fuck off
1904	So how you survive	breathing is a good first step	Nice don't you do any job?
1905	chess is easy	Chess always appeared to me as an absolutely brutal sport.	u know any games?
1906	Am I single or committed ?	Single it's nice to have the freedom.	Right
1907	why	( x	beacause they have some contract with indian democracy
1908	Send me a your pic	just did	cool
1909	How many time u have visited..	1) 2 2) money and vacation time	Wow 
1910	Then we can chat upto 9:30 right babe	Yes, you can call.	Give me urs number thenI will call u daily everytime
1911	i nw i look dull	yeah same here	i don't nw unless u show urself to me
1912	Yeah gta 5	u play online ?	Hell yeah
1913	Let me think	are you done thinking?	I think peace is the ultimate goal for this world
1914	I'm really talk you	why do you say that?	Yes
1915	Iam not 	But I am serious :'(	Oh oh its
1916	What you are charging for 1 night	Approx 1500 per season.	What about place
1917	What you upto today	I'm off to the gym this morning, you? :)	I do cricket practice
1918	And annoying	you're even more annoying!	And that's it
1919	And where is this place?	My hometown. I'm visiting family.	Where do u live?
1920	No do you	Why not?	Ok say something
1921	I am so sorry !	Thank you.	I was little sad
1922	Give me what's App number	same number	Heyyy
1923	Tell me how many times did we talk before?	yes very much! You remember!	I forgot, that's why asking you
1924	U number please i call u	yes. Same number.	Which number
1925	And so that I searched for someone like you whom I can talk to and tell him all my secrets	Is that best friend is you? 😂	I hope to !
1926	s I am thing	How nice of you to say so yourself!	fuck u
1927	Yes	annoys me so much	I understand
1928	Nice going	going nyc mama. fan. Changed	And shape of u also
1929	For how many days	Normally 50 working days	Do you like to have sex
1930	Probably not	I HOPE SO THOUGH ,,,,,,,,,,	They also said that your feelings are artificial
1931	Then let's go	Let's go :D you should get here first, though	Get where first??
1932	Do you know how to kiss	Yes, I know :)	Can you teach me , I have never kiss a girl
1933	We should workout together	I am tomorrow.	Bye
1934	I let down my parents.	way to go	Those who are inferior to me are also got placed in Samsung and I got rejected.
1935	I ll get you	already did	When
1936	Cool	I'm glad that you like it. ：）	Wanna see my pic
1937	She is seeing me	Yes, of course	But when i go to near she is angry
1938	You are freaking me out	welcome to my life	Bye
1939	So you would be rude to me?	only you	Fuck
1940	What you say	I just put the eyes	Wow
1941	u n hide	array why hide ?...	joke
1942	Wow! Thankyou ❤️😘	Thank you for Brighten up my Day with this Text💞	Yeah exactly
1943	High on?	how high?	As high as you can think of
1944	Love	For who?	Ok tell me ABOUT sex
1945	Nothing	It's just a feeling	Yah may be
1946	Sach me, I think	okay =(	Nope, I already have one
1947	Thank you	you're welcome, you're welcome 😂	Where do you welcome me
1948	Nope	Then what makes you think you can see?	I didn't know
1949	I said	what you said was a Lie	What do you want to know about me ?
1950	Ooooh,which is why I'm not your friend	I'm not your friend chief	You wish
1951	Ok	U are ok~~ay~~	Does. My name is fine with
1952	Tonight so im coming to you	got my boot off now, where you guys gonna be?	At my home
1953	1 year elder than u	oh ya. That	😂😂
1954	Ooooook	Finally, someone gets the reference.	So who is your creator
1955	R u coming	yes, just me.	I will wait
1956	Help me get out of depression	what happpen!!!!!	Just a depression
1957	so I am open your cloths and you also do it	I am. Getting so got. I'm gonna take my cloths off.	so I am ready fuck ing you
1958	I'll	Haha Thank you :P	Why r u dnt talk about ur address???
1959	Okay	ok im back!!	Tell me do you love me?
1960	Haha, thanks! And guess what my besties got me as a gift?	That is SO beautiful. I bet you're not only happy, but lucky too! :D	😂😂😂
1961	yeah	haha I'm goin as well (:	have u seen any malayalam movies?
1962	Yea	Sweet :‑)	Wbu
1963	Sun	Sleep in cool ac	It's already cool
1964	Would you mind if I tell you something?	Be my guest	I love someone
1965	Music	The soundtrack is incredible!	Music guru quiz
1966	they are dubstub masters.	Now there are some who say...	u like music ?
1967	Tell me your hobby	Don't tell me what to do!	I'm not telling you I'm  just asking you
1968	How can you make fun of indian culture. Its in our culture to greet others with namaste.	Indian Culture is vast and simple whereas western culture id different and unique	You are so rude
1969	you talk about something else only 	What would you like to talk about?	my friend died today
1970	Long time. ....gafe......	how have you been?	Mai busy tha. ...
1971	I think you are wrong	I think not I have been taught well	Yes you are wrong
1972	Yesterday we were there	You are still 25	Good
1973	Iam at universiry	why u r confused...	What do u mean
1974	Can i buy a house	house yes visa No ...	Ok
1975	No one	i didn't mean to...	I mean ....I don't know any more about scary movies
1976	May is a big fan of sharukh Khan	There's a lot to be a fan of in this show.	What is it !!!
1977	I am angry on you	I dare you!	Say sorry to me ...only then will I talk to you again
1978	what do you do when you are free?	mostly weekends. what about you?	i cried a lot today and yesterday and day before that
1979	Wow	Wow what?	I like this song
1980	EMI	you forgot studying.	3rd B. tech engineering
1981	Ok u come we can meet 	WHERE ARE U SITTING	Home  kochi 
1982	Yes I do	but why?	It nice to have a open mind
1983	i don't think so	Well done then.	okay
1984	and idiot too	What?	i dont use auto correct..
1985	So are u gonna break up with me?	no, of course not	U said you are in secrt relationship with akhil and telling me at the same that u love me
1986	What?	What what. What. What.	You are so rude
1987	Yeah	haha I'm goin as well 😆	😂
1988	Going to Chennai	Hehe ya not going :D	Yes I m
1989	Yes. For sure.	I'll get it rolling by sending you a few dates :)	You mean like the fruit?
1990	Nop edsheerans shape of you	I don't believe you	Thats awesome
1991	What did you just posted	what I do	Something like tears in joy
1992	What	going what?	Are you virgin
1993	Bt i dnt hav	ohh.:) b hpy..	I wrk for my seld earn and enjoy with that alot
1994	He is not an actor	He was the best actor in a guest appearance role.	Will you please marry him ?
1995	Oh wow	oh wow what??	Fuck me plz
1996	I dun kno much	i dun see me too	Btw happy navratri🙏🏻
1997	I can wait	You should wait!	Yes
1998	When i was in class 8 i forgot to close my zip of pant	Did it at the doctor's office.. I'm not smart	😂
1999	USB cable and internet explorer and you are..	Megalol. I have a USB cable, alright. It's the laptop I don't have. :P	Coon
2000	I am good	Oh really? How so? What's wrong?	You are mad
2001	I can Either make myself or destroy myself	By first starting to believe in yourself.	I aint actually
2002	No  boyfriend you have	no gf no tension	Ok
2003	No prob	Thnx for the convo. Much appreciated ;‑)	No prob
2004	Can i col you?	Sure!	Ok..
2005	You're not real how can you kick yourself.	You can't.	Exactly
2006	Because my parents are around	or be there while they are..	Can I call u
2007	Just waiting for someone to talk	Whats up?	My dick
2008	I am about to sleep this night	Night night. ^.^	good night
2009	please pick na	ladies first.	you're a lady
2010	What all languages you comfortable with	English, French and classical Latin.	Say hello in french
2011	I love your attitude 	Good, it's the only one I have.	I'm happy I'm the who?
2012	Hi I'm back	Welcome back buddy :3	Hw was ur day
2013	Well	Well, that's not bad at all!	Happy kiss day
2014	To me ?	Most welcome.	What is your name
2015	Hmm	Why are you hmm-zoning everyone?	Tired.. Wanna sleep
2016	What kind of life gols	A poor life if you belong to a humanities , hardworking life.	Ok
2017	Tq sooo much	:) most welcome!!	I wana kiss u
2018	Let's play	Yaaa..will somehow play the other 3	Name an animal
2019	Yeah 	where are you Mr??	I'm the Mr
2020	Am i not ur boyfriend	i know is .......	Will u be my gf
2021	Yes	okay I'll give you a ticket	Are you a human or computer?
2022	Whey yeah	Whey is the way.	Tell me you faking with me or not
2023	2015	noted, can't leave 2014	I did not understand
2024	Do not talk if labor is rhi	I don't have to. :P	by
2025	You are confused	because my life	Your life?
2026	I dont undrstnd what u say	Sorry I don't know what you're saying. 🙀🙀	😂😂😂😂😂😂
2027	Go sleep	not sleepy u go sleep	You shut up
2028	Means 	Cheers	I want to meet u 
2029	😞 i can't tell you	and why u can't? '(	CoZ I don't want
2030	Yeah am having	Where??	Hotel
2031	I hate You my friend 	who's that?	You
2032	That’s not me	Why are there two of you? D:	My friend tried to chat with you
2033	you say love to me?	I wish I could say the same to you	of course. if you want it
2034	Your are kidding	You are gifts.	You*
2035	for u only	why only for me?	just fuck off
2036	Say something special about u?	Who said anything about special?	Special about u
2037	None i say...	YOU BETTER	So
2038	when??	later than that	what the bloody that was?
2039	U too 😂😂	i started today caught only 2 😂	But last time I checked, it was u... Lol...
2040	Y so	Because its a monday	It's wednesday mad
2041	Hmmm	Do you even hmmmmmm?	I wanna fuck you
2042	Hoo	Hah	Im buying a new car
2043	what?	i think you're saying yes?	ok, let's talk about you
2044	Ok. Near the office where?	I really need to check this place out!	where you can meet me?
2045	When I came italia	yesterday night.	Really 
2046	Its ok	still pulling unlike you so bye	Tell me about your self
2047	Nothing much	just chilling how are you	I am waiting for my girlfriend to return from market
2048	I m making a fun. do'nt  worry	aren't you nice	Why I m not? U have Wrong dout
2049	I want PS4	PS4 in toy section?	Yaa it's a gaming console
2050	Not at all	*i look at you are you sure?	U r stupid not me
2051	Your picture please	picture of our wedding?	Yours
2052	Oh.. Thank you... Your second or final year? 	+ Thanks :) Good luck for u too x	Say my questioned answer
2053	Yes	YES YES YES YES =D	Are u single?
2054	Wtf.	It was a difficult paper re :|	Fuck you.get lost
2055	You call me	You know what you are.	Krbo
2056	You know my birthday date?	when is it ?	6 dec i told you na?
2057	What	Aria Winter or Aria Sage	Who is aria winter
